[  5 17 21:26:29 2021] tgid,2729, delta_vrun,60965, delta_rrun,6549, prio,130
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,21700, delta_rrun,21700, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,13869, delta_rrun,13869, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,10401, delta_rrun,10401, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,10244, delta_rrun,10244, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,12075, delta_rrun,12075, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,10529, delta_rrun,10529, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,10101, delta_rrun,10101, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,10375, delta_rrun,10375, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,10648, delta_rrun,10648, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,9917, delta_rrun,9917, prio,120
[  5 17 21:26:29 2021] tgid,2135, delta_vrun,11402, delta_rrun,11402, prio,120
[  5 17 21:26:29 2021] tgid,2862, delta_vrun,16963, delta_rrun,2408839, prio,120
[  5 17 21:26:29 2021] tgid,2815, delta_vrun,21787, delta_rrun,21787, prio,120
[  5 17 21:26:29 2021] tgid,2815, delta_vrun,82683, delta_rrun,82683, prio,120
[  5 17 21:26:29 2021] tgid,2815, delta_vrun,8671, delta_rrun,8671, prio,120
[  5 17 21:26:29 2021] tgid,2815, delta_vrun,24990, delta_rrun,24990, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,105526, delta_rrun,105526, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,180086, delta_rrun,180086, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,239901, delta_rrun,239901, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,5108, delta_rrun,5108, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,4791, delta_rrun,4791, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,34390, delta_rrun,34390, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,90965, delta_rrun,90965, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,74858, delta_rrun,74858, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,70441, delta_rrun,70441, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,69539, delta_rrun,69539, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,74969, delta_rrun,74969, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,39032, delta_rrun,39032, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,214135, delta_rrun,214135, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,97904, delta_rrun,97904, prio,120
[  5 17 21:26:29 2021] tgid,2863, delta_vrun,197155, delta_rrun,197155, prio,120
