5 21 23:50:39 2021] tgid,15, delta_vrun,0, delta_rrun,29063, prio,0
5 21 23:50:39 2021] tgid,25, delta_vrun,508, delta_rrun,173694, prio,0
5 21 23:50:40 2021] tgid,2231, delta_vrun,14541, delta_rrun,14541, prio,120
5 21 23:50:40 2021] tgid,234, delta_vrun,684, delta_rrun,59344, prio,100
5 21 23:50:40 2021] tgid,351, delta_vrun,1338, delta_rrun,116000, prio,100
5 21 23:50:40 2021] tgid,234, delta_vrun,441, delta_rrun,38247, prio,100
5 21 23:50:40 2021] tgid,351, delta_vrun,181, delta_rrun,15742, prio,100
5 21 23:50:40 2021] tgid,2146, delta_vrun,116222, delta_rrun,116222, prio,120
5 21 23:50:40 2021] tgid,1191, delta_vrun,93232, delta_rrun,93232, prio,120
5 21 23:50:41 2021] tgid,234, delta_vrun,1242, delta_rrun,107698, prio,100
5 21 23:50:42 2021] tgid,2231, delta_vrun,15814, delta_rrun,15814, prio,120
5 21 23:50:42 2021] tgid,351, delta_vrun,1209, delta_rrun,104825, prio,100
5 21 23:50:42 2021] tgid,822, delta_vrun,104713, delta_rrun,104713, prio,120
5 21 23:50:42 2021] tgid,1191, delta_vrun,87196, delta_rrun,87196, prio,120
5 21 23:50:43 2021] tgid,11, delta_vrun,0, delta_rrun,18152, prio,0
5 21 23:50:43 2021] tgid,15, delta_vrun,0, delta_rrun,30528, prio,0
5 21 23:50:43 2021] tgid,20, delta_vrun,558, delta_rrun,65579, prio,0
5 21 23:50:43 2021] tgid,25, delta_vrun,508, delta_rrun,63224, prio,0
5 21 23:50:43 2021] tgid,2231, delta_vrun,14611, delta_rrun,14611, prio,120
5 21 23:50:43 2021] tgid,2231, delta_vrun,44672, delta_rrun,44672, prio,120
5 21 23:50:43 2021] tgid,1191, delta_vrun,74879, delta_rrun,74879, prio,120
5 21 23:50:44 2021] tgid,2231, delta_vrun,14018, delta_rrun,14018, prio,120
5 21 23:50:44 2021] tgid,2146, delta_vrun,96610, delta_rrun,96610, prio,120
5 21 23:50:44 2021] tgid,1378, delta_vrun,13403, delta_rrun,45136, prio,0
5 21 23:50:45 2021] tgid,2231, delta_vrun,14922, delta_rrun,14922, prio,120
5 21 23:50:45 2021] tgid,234, delta_vrun,105, delta_rrun,9108, prio,100
5 21 23:50:45 2021] tgid,351, delta_vrun,1822, delta_rrun,157984, prio,100
5 21 23:50:45 2021] tgid,234, delta_vrun,896, delta_rrun,77722, prio,100
5 21 23:50:45 2021] tgid,351, delta_vrun,283, delta_rrun,24566, prio,100
5 21 23:50:46 2021] tgid,2146, delta_vrun,132707, delta_rrun,132707, prio,120
5 21 23:50:46 2021] tgid,822, delta_vrun,75113, delta_rrun,75113, prio,120
5 21 23:50:46 2021] tgid,2231, delta_vrun,164843, delta_rrun,164843, prio,120
5 21 23:50:46 2021] tgid,1191, delta_vrun,76909, delta_rrun,76909, prio,120
5 21 23:50:47 2021] tgid,351, delta_vrun,1789, delta_rrun,2529731, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,202, delta_rrun,17579, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,159, delta_rrun,13840, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,113, delta_rrun,9880, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,168, delta_rrun,14603, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,215, delta_rrun,18710, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,114, delta_rrun,9963, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,145, delta_rrun,12617, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,165, delta_rrun,14386, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,128, delta_rrun,11173, prio,100
5 21 23:50:47 2021] tgid,351, delta_vrun,170, delta_rrun,14780, prio,100
